Thread ID,Distance From Positivity, Thread Certainity, Number of Interactions
577258317942149120,0.0,somewhat-certain,5
576755174531862529,-0.7766108062733104,somewhat-certain,5
576319832800555008,-0.39394611069420793,somewhat-certain,15
576513463738109954,-0.6140024708185116,certain,7
552783667052167168,-0.3031021092567373,certain,7
552793679082311680,0.0,certain,15
553548567420628992,-0.8125168696516811,somewhat-certain,22
552832817089236992,0.0,certain,12
552833028201144320,0.0,certain,18
553184482241814530,-0.25373090853228397,somewhat-certain,28
553534838880608256,-0.06926334705341043,certain,7
553512735192141826,-0.17075818978143842,certain,5
552834961762709505,0.0,certain,17
553197863971610624,-0.41749793816190756,certain,23
552792802309181440,-0.4424273481899142,certain,8
553586860334010368,-0.47457027157701326,certain,19
553486439129038848,-0.14287685412509304,certain,9
552848620375261184,-0.41414537884366787,somewhat-certain,15
553588178687655936,-0.39343028177599126,certain,12
553518472798683136,0.0,certain,20
553503184174710784,-0.29143401837362426,certain,23
552805488631758849,-0.8561280438677512,certain,110
553506608203169792,-0.5389616435317786,certain,24
553221600955621376,0.0,certain,2
553549686129561600,0.0,certain,23
552792913910833152,0.0,certain,5
552996335319007233,-0.4999641876767577,certain,15
552806309540528128,-0.5602156624834059,certain,39
553550301886955520,-0.5699830872421032,certain,19
529660296080916480,0.0,certain,4
500295393301647360,-0.09049737608735552,certain,8
500278045597368320,-0.08677979453480655,certain,16
499612545909415938,-0.7085077029081577,certain,27
500279189405433858,-0.3423012952911837,certain,38
500341884678836224,-0.835237006289013,somewhat-certain,10
500270780832174080,-0.3668162738720404,certain,16
500319801344929795,-0.20609055686407513,certain,17
499530130487017472,-0.5000671286835359,certain,25
500298752469770240,-0.9572796918416702,certain,44
500327120770301952,-0.43542110726290983,certain,19
500394061887709184,0.0,somewhat-certain,15
500377145349521411,-0.2659586715025432,somewhat-certain,14
500381163866062848,-0.05919088807509716,certain,8
500258409988763649,-0.005489082649912767,somewhat-certain,8
580331561398108160,-0.5813593133463357,certain,14
580319078155468800,-0.32777787131180985,certain,32
580320684305416192,0.0,certain,4
581047170637381632,-0.1246175954784306,somewhat-certain,3
580333909008871424,0.0,certain,4
580333763512705025,0.0,certain,24
580371845997682688,-0.048381381663884414,somewhat-certain,2
580323060533764097,0.0,certain,2
580321156508577792,0.0,certain,2
580322453928431617,0.0,somewhat-certain,2
524924619812511746,-0.4744382548664624,certain,9
524922729485848576,-0.9928351232429896,certain,36
524941132237910016,0.0,certain,2
524925987239120897,0.0,certain,4
525025279803424768,0.0,certain,8
524925730053181440,-0.22117868445704253,certain,18
524962142563610625,-0.8137317705466084,certain,5
525023025792835585,0.0,certain,11
524937542131793920,-0.40174164916315114,certain,6
524926235030589440,-0.18326756706818653,certain,6
524972443308683264,-0.4819397943153656,certain,11
524936872666353664,-0.0026654291898089728,certain,29
524993533212897281,-0.35879536079632673,certain,6
524983581983375360,-0.631278179225214,certain,18
524991576163250176,-0.6332999979755514,somewhat-certain,9
524964948683005952,-0.8094429397633913,certain,45
544277860555710464,-0.6741845145031014,certain,14
544271069146656768,-0.9000726693321186,certain,12
544391176137089024,-0.2991753792011595,certain,22
544504183341064192,0.0,certain,18
544271362022338560,-0.995878368928122,certain,18
544292670336925696,-0.13149808068309946,certain,6
544520042810200064,0.0,certain,2
544520273718812672,-0.40280251312567256,certain,18
544518335019229184,-0.47546283376938064,certain,16
544350712365207552,-0.3515901470815881,certain,18
544515538383564801,-0.6454424363769442,certain,19
544282005941530624,0.0,certain,14
544278335455776769,-0.5626101749198763,certain,18
544309275141885952,-0.7181321351600434,somewhat-certain,32
544310853613281281,-0.8059074789041657,somewhat-certain,19
544288681021145090,-0.4365876410199472,certain,17
544319274072817664,-0.6347491843950209,certain,13
544283772569788416,-0.4464334220228884,certain,19
544282227035869184,-0.4014273850992064,certain,18
553558982476828674,-0.5074580012867823,certain,13
553212962044149761,-0.2447550181479629,certain,8
553538058440941568,0.0,somewhat-certain,19
552984502063337472,0.0,certain,3
553467311261503488,0.0,somewhat-certain,2
552982613288157184,0.0,certain,4
552792544132997121,-0.2884318532415111,somewhat-certain,17
553535829017370625,0.0,certain,5
553590835850514433,-0.6041555182712086,somewhat-certain,20
553587672137334785,-0.048718351601995856,somewhat-certain,27
553470492565602305,-0.5143877752595445,uncertain,8
552821069036670976,0.0,certain,21
553531413459660800,-0.6030736763425615,somewhat-certain,14
553476490315431937,0.0,certain,4
553589051044151296,0.0,certain,8
552791578893619200,-0.4132133512180565,certain,20
553152395371630592,-0.2711075689584005,certain,21
553505242554175489,-0.46881383632772033,certain,15
553474188259102720,-0.10897540364098454,certain,12
529540733020405760,-0.06048316713335974,somewhat-certain,14
529720273285566464,-0.6778623296558584,certain,20
529695367680761856,-0.46204702753325805,somewhat-certain,8
529654186791944192,-0.30171215403269425,somewhat-certain,10
529695483661664257,0.0,somewhat-certain,10
529653029747064832,-0.04225951378594358,somewhat-certain,6
500327106824245249,0.0,somewhat-certain,7
500354773133299713,0.0,somewhat-certain,25
500391222075076610,-0.873797634802193,uncertain,53
499456140044824576,-0.19940724944013327,somewhat-certain,11
500363740311982081,-0.49339990523337546,somewhat-certain,20
498430783699554305,0.0,somewhat-certain,22
499366666300846081,-0.5656008274267874,certain,14
500294803402137600,-0.5637025407302957,somewhat-certain,19
500377906305327104,-0.4055849358921646,somewhat-certain,16
500290456845299714,-0.6965273815081376,certain,38
500280422295937024,-0.32737494340371154,somewhat-certain,14
500279160795721728,-0.972922048913897,uncertain,95
581386094337474560,-0.3848570471205015,certain,11
580324027715063808,0.0,certain,3
580325090367315968,-0.7041571014469499,somewhat-certain,52
581063377226637312,-0.14208522043891486,certain,2
580326222107951104,-0.4253071123252252,certain,11
580319184652890113,-0.513628657885111,certain,9
580339825649291264,0.0,certain,10
580339547269144576,-0.6890007287282495,somewhat-certain,14
525003468659228672,-0.847476577869912,certain,25
524975705206304769,0.0,certain,23
524942470472548352,0.0,certain,3
524932056560963584,-0.04896365733718188,somewhat-certain,3
525019752507658240,-0.8896725480812717,certain,34
524947416869388288,0.0,somewhat-certain,3
524935485370929152,-0.5002350556702841,certain,19
524925050739490816,-0.44218757265715214,certain,11
524969201102901248,0.0,somewhat-certain,17
524923462398513152,-0.5790466078424195,certain,13
524925215235911680,0.0,certain,18
524980744658382848,-0.1848924139266904,certain,9
524981436252950528,-0.6063935140559598,somewhat-certain,7
524931324763992064,-0.6667705594375151,certain,7
524926472432410625,0.0,certain,3
524943490887991296,0.0,certain,7
524944399890124801,-0.23390311610502915,certain,22
544380742076088320,0.0,somewhat-certain,19
544358564484378624,-0.1841504642585606,certain,2
544510450101415936,-0.18902446368532372,somewhat-certain,11
544278985249550337,-0.5171881834114154,certain,18
544514564407427072,0.0,somewhat-certain,4
544512676643500033,0.0,certain,3
544329935943237632,-0.890056315391557,certain,102
544305540286148609,0.0,somewhat-certain,15
544314234541469696,-0.49388641329391847,somewhat-certain,20
544291965513134080,-0.7233884219419229,somewhat-certain,24
544269749405097984,-0.11158026530516003,certain,15
544301453717041152,0.0,somewhat-certain,23
544274934835707905,-0.702308263692875,certain,41
544350567183556608,-0.46750080377237163,somewhat-certain,2
544271284796784640,0.0,certain,8
544289311504355328,0.0,certain,2
544513524438155264,0.0,certain,2
544333764814323713,-0.5284600340352036,certain,23
544517264054423552,0.0,somewhat-certain,17
544391533240516608,0.0,certain,4
544268732046913536,0.0,certain,8
544512910538838016,-0.5224328616280556,certain,14
544306402731507712,0.0,somewhat-certain,3
544382892378714113,-0.013783483258419963,certain,8
544399927045283840,-0.11379991513221208,certain,31
544512664769396736,-0.2755849884098731,certain,5
544305745416581120,0.0,certain,3
576323086888361984,-0.21205729638948623,certain,6
576829262927413248,-0.9670409130883437,somewhat-certain,7
576276947648405505,-0.5,somewhat-certain,3
576796432730071040,-0.9799454558479348,somewhat-certain,14
576812998418939904,0.0,certain,2
552978184413921281,0.0,somewhat-certain,2
553575232867672064,-0.41287034538832745,certain,12
553544694765215745,0.0,certain,14
553476880339599360,-0.14258444591933322,somewhat-certain,14
552802654641225728,-0.3670550196036984,certain,7
553579224402235393,-0.4800019649895347,certain,25
553586897168392192,0.0,certain,12
553566026030272512,-0.04423617296894794,certain,11
553164985460068352,-0.2893656146203702,somewhat-certain,14
553590459688570880,-0.48773006494051446,certain,19
553160652567498752,-0.021408540110545778,certain,11
552785375161499649,0.0,certain,3
